京鲜到京东自营旗舰店,京鲜到,,云南,京鲜到4,100029124439,国产,冷藏
麦尔纬果蔬专营店,达林果蔬,,江苏,达林果蔬 阳光玫瑰晴王葡萄日本引进品种香印无籽提子 当季水果礼盒装 2斤精品果(保温箱+防震葡萄袋),10055341632578,国产,常温
合创水果专营店,尤可力,,阳光玫瑰,尤可力阳光玫瑰葡萄晴王香印提子新鲜水果 1斤尝鲜装【防震葡萄袋】,10060024306230,冷藏,江苏
金皓阳生鲜专营店,方盛（FANGSHENG）,,云南,方盛【JD速运】阳光玫瑰晴王葡萄 新鲜水果时令生鲜 孕妇水果礼盒带箱 精选2斤大果【礼盒+防震袋】,10051300151159,国产,冷藏
京鲜到京东自营旗舰店,京鲜到,,云南,京鲜到严选5斤装 2-3串/箱,100052717869,国产,冷藏
金皓阳生鲜专营店,方盛（FANGSHENG）,,云南,方盛阳光玫瑰葡萄 新鲜水果 时令生鲜 阳光玫瑰甄选2斤特级果,10071437069539,国产,冷藏
京鲜到京东自营旗舰店,京鲜到,,云南,京鲜到甄选5斤礼盒装 2-3串/箱 ,100052717861,国产,冷藏
京鲜冠生鲜旗舰店,京鲜冠（jingxianguan）,,云南,京鲜冠阳光玫瑰晴王葡萄日本引进品种当季新鲜水果礼盒 精选2斤大果【礼盒+防震袋】,10057421571809,国产,冷藏
合创水果专营店,尤可力,,阳光玫瑰,尤可力阳光玫瑰葡萄晴王香印提子新鲜水果 2斤精选装【防震葡萄袋】,10060024306231,冷藏,江苏
麦尔纬生鲜专营店,鲜其,,江苏,鲜其 阳光玫瑰葡萄晴王无籽香印提子单果重约8g 新鲜水果礼盒装 一级果礼盒装2斤串装,10056147915358,国产,冷藏
京鲜到京东自营旗舰店,京鲜到,,云南,京鲜到甄选5斤礼盒装 2-3串/箱 ,100043665448,国产,冷藏
尔澜京东自营旗舰店,尔澜,,夏季结果,尔澜阳光玫瑰葡萄树苗 扦插苗 0.5-1厘米粗,100035965865,农田，花园，庭院，阳台,春季
麦尔纬果蔬专营店,达林果蔬,,江苏,达林果蔬 阳光玫瑰晴王葡萄日本引进品种香印无籽提子 当季水果礼盒装 3斤精品果(保温箱+防震葡萄袋),10055341632579,国产,常温
绿养道旗舰店,绿养道,,阳光玫瑰,绿养道云南阳光玫瑰新鲜水果 无籽葡萄 3斤精品串装,10058436056647,冷藏,云南
金皓阳生鲜专营店,方盛（FANGSHENG）,,云南,方盛【JD速运】阳光玫瑰晴王葡萄 新鲜水果时令生鲜 孕妇水果礼盒带箱 精选3斤大果【礼盒+防震袋】,10054644423001,国产,冷藏
天吖天生鲜专营店,桃李村,,广西,桃李村【JD物流】阳光玫瑰晴王葡萄香印无籽翡翠葡萄新鲜应季水果 3斤精品果(保温箱+防震葡萄袋),10070013348664,国产,常温
